tool,project,id,mutant-id,line_in_buggy,line_in_patched,structural_score,conceptual_score,sum,correct
SketchFix,Math,82,1,[82],[82],[1.0],[0.96],1.96,True
Arja,Closure,117,0,[751],[751],[0.619],[0.667],1.286,False
SimFix,Closure,46,0,[154],[154],[0.533],[0.652],1.185,False
CapGen,Math,80,9,[1139],[1139],[0.808],[0.963],1.771,False
Kali,Closure,76,0,[1411],[1411],[0.714],[0.75],1.464,False
Arja,Closure,1,0,"[396, 1411]","[396, 1411]","[0.595, 0.423]","[0.575, 0.5]",1.046,False
Nopol,Math,82,0,[63],[63],[0.731],[0.755],1.486,False
Jaid,Closure,33,1,[568],[568],[0.422],[0.587],1.009,False
SimFix,Math,81,0,[1537],[1537],[0.32],[0.56],0.88,False
TBar,Chart,12,0,[161],[161],[0.778],[0.88],1.658,False
RSRepair,Closure,10,0,[1271],[1271],[0.409],[0.533],0.942,False
CapGen,Math,80,4,[1140],[1140],[1.0],[0.913],1.913,False
CapGen,Lang,59,2,[880],[880],[0.818],[0.911],1.729,False
RSRepair,Closure,75,0,[301],[301],[0.417],[0.467],0.884,False
Jaid,Math,85,1,[198],[198],[1.0],[0.912],1.912,True
CapGen,Math,80,5,[1139],[1139],[1.0],[0.926],1.926,False
TBar,Lang,10,0,[307],[307],[0.697],[0.615],1.312,True
Kali,Closure,59,0,[263],[263],[0.818],[0.875],1.693,False
RSRepair,Closure,114,0,"[1611, 120]","[1611, 120]","[0.643, 1.0]","[0.5, 0.786]",1.465,False
Nopol,Lang,51,0,[672],[672],[0.806],[0.789],1.595,False
RSRepair,Closure,33,0,[576],[576],[0.6],[0.667],1.267,False
Kali,Chart,1,0,[1797],[1797],[0.826],[0.87],1.696,False
FixMiner,Chart,26,0,[2538],[2538],[0.636],[0.765],1.401,False
TBar,Math,85,0,[199],[199],[0.0],[0.022],0.022,False
CapGen,Math,63,6,[417],[417],[0.605],[0.75],1.355,False
SimFix,Closure,73,0,[1045],[1045],[1.0],[0.6],1.6,True
kPAR,Closure,40,0,[635],[635],[1.0],[0.953],1.953,True
AVATAR,Closure,66,0,[1913],[1913],[0.5],[0.739],1.239,False
TBar,Lang,39,0,[3675],[3675],[1.0],[1.0],2.0,False
